Country,Address,Name,State,Review Count,Stars
,678 W Cuthbert Blvd,Bamboo Chinese Restaurant,NJ,26,2
,680 N Easton Rd,NaBrasa Brazilian Steakhouse,PA,588,4
,682 Nashville Pike,Panda Chinese Restaurant,TN,5,2
,693 Nashville Pike,Dragon Express Chinese Restaurant,TN,12,2.5
,"701 David Dr, Ste F",Little Chinese Kitchen,LA,49,3.5
,702 S Broad St,Number One Chinese Restaurant,NJ,6,3
,707 S Union St,Hong Hing Chinese Restaurant,DE,37,4
,718 S Florissant Rd,Chinese Express,MO,15,4
,720 S Church St,Happy Garden Chinese Restaurant,NJ,24,3.5
,728 S New,Lucky House Chinese Restaurant,MO,6,2.5
,735 W Lancaster Ave,Chinese Delight,PA,52,3
,786 Emerson St,Happy Garden Chinese Carry-Out Restaurant,NJ,6,4
,795 Rt 70 E,King Wong Chinese Restaurant,NJ,153,4.5
,"815 Blackwood Clementon, Clementon Rd",Red Apple Chinese Restarant,NJ,12,3
,827 Cooper Landing Rd,Four Seasons Chinese Restaurant,NJ,25,3.5
,830 Upper State Rd,Eastern Dragon Chinese & Japanese Restaurant,PA,93,3.5
,"835 E Clements Bridge Rd, Ste 6",Oishi Sushi Japanese & Chinese Food,NJ,11,4
,835 Glenside Ave,New Star Chinese Restaurant,PA,14,3.5
,848 Chester Pike,Da Chen Chinese Restaurant,PA,54,4
,850 49th St N,Spring Garden Chinese,FL,16,2.5
,"850 S Valley Forge Rd, Ste 13",Kowloon Chinese Restaurant,PA,32,3.5
,"859 Rte 45, Ste E",Gao Sheng Chinese Restaurant,NJ,14,3
,930 Canal St,Great Ball Chinese,LA,6,2.5
,"966 Embarcadero Del Mar, Apt C",Red Pepper Chinese Food Express,CA,5,3.5
,1000 S Harrison Rd,Great Village Chinese Restaurant,AZ,132,4
,1001 Pontiac Rd,Great Wall Chinese Restaurant,PA,14,3.5
,"1004 Cooper St, Ste 3",Victory Chinese Restaraunt,NJ,26,3
,1007 Macdede Blvd,Fuji Hibachi And Chinese Cuisine,PA,12,4.5
,1011 Arch St,Chinese Natural Herbs,PA,12,4
,1014 State St,Gracie Barra Brazilian Jiu-Jitsu,CA,21,5
,1102 Town Square Rd,King Wok Chinese Restaurant,PA,21,3
,1108 S Dale Mabry Hwy,Terra Gaucha Brazilian Steakhouse - Tampa,FL,405,4.5
,1110 Pinellas Bayway S,Wong Lee's Chinese Cuisine,FL,23,3.5
,1111 Locust St,Picanha Brazilian Steakhouse,PA,87,4
,"1116 Horsham Rd, Ste 9",Peking House Chinese Restaurant,PA,27,3
,1128 E Luzerne St,New Ocean Chinese Restaurant,PA,7,2.5
,1129 Cooper St,New Hong Kong Chinese Restaurant,NJ,15,4
,1155 Rte 73,Jin Cheng Chinese Restaurant,NJ,23,4
,1168 S Broad St,Osagame Judo and Brazilian Jiu Jitsu,PA,7,5
,1171 Gravois Rd,J & I Chinese Kitchen,MO,17,3
,1220 E Erie Ave,Red Central Chinese Restaurant,PA,15,2.5
,1223 Bruce B Downs Blvd,Ho Wok Chinese Restaurant,FL,59,3.5
,1238 Township Line Rd,Szechuan Hill Chinese Restaurant,PA,53,3.5
,"1300 N Charlotte St, Ste 8",No 1 Chinese Restaurant,PA,15,3
,1301 Skippack Pike,Golden Sea Chinese Restaurant,PA,57,3.5
,1308 Manhattan Blvd,Taqueria & Golden Chinese,LA,16,4
,1326 Macdade Blvd,Panda Chinese Restaurant,PA,9,3
,1329 Rangeline Rd,Sichuan Chinese Restaurant,IN,122,3.5
,1335 Airmotive Way,Charles Gracie Brazilian Jiu-Jitsu Academy of Reno,NV,10,5
,1388 S Entertainment Ave,Tucanos Brazilian Grill,ID,354,3.5
,1401 Philadelphia Pike,Unique Chinese,DE,20,2.5
,1407 Blackwood Clementon Rd,No 1 China Chinese Restaurant,NJ,15,3.5
,1413 N Claiborne Ave,Manchu Food Store & Chinese Kitchen,LA,190,4.5
,1420 US Hwy 130 N,Hunan Garden Chinese Kitchen,NJ,17,3.5
,"1425 Main St, Ste D",Connie Chinese Massage,FL,26,4.5
,1429 Parkside Ave,No. 1 Chinese Restaurant,NJ,20,3.5
,1435 Robinson Rd,No 1 Chinese,TN,37,4
,1441 S 7th St,Great Wall Chinese Restaurant,PA,13,4
,1444 Bethlehem Pike,Queen Chinese Restaurant,PA,24,3.5
,"1445 S Meadows Pkwy, Ste 209",Black Diamond Brazilian Jiu Jitsu,NV,9,5
,1468 Blackwood Clemntn Rd,Rollin Gardens Chinese Restaurant,NJ,9,4
,1483 Nashville Pike,No 1 Chinese Restaurant,TN,22,2.5
,1490 Buck Rd,Wang's Gardens Chinese Restaurant,PA,28,4
,"1490 North Belcher Rd, Ste I",Gracie Barra Clearwater Brazilian Jiu Jitsu,FL,5,5
,1512 N Olden Ave,Sing Lee Chinese Restaurant,NJ,7,2.5
,"1520 S 5th St, Ste 100",Tucanos Brazilian Grill,MO,477,3.5
,1535 W 4th St,Unique Chinese & Japanese Cuisine,DE,12,2.5
,1548 S Dale Mabry Hwy,Brazilian Beekini Wax,FL,137,4.5
,1551 S Valley Forge Rd,Abacus Chinese Restaurant,PA,71,3.5
,1555 Hurffville Rd,Qitopia Chinese Massage Studio,NJ,6,4.5
,"1555 Hurffville Rd, Ste2",Shan's Chinese Restaurant,NJ,28,4
,1600 S 7th St,Ho's Chinese Restaurant,PA,6,3
,1601 Wharton St,Michael's Chinese Kitchen,PA,28,4
,1610 Country Club Plaza Dr,Chinese Express,MO,14,2.5
,1613 Pratt St,Lo Chinese Restaurant,PA,10,2.5
,"1613 Rt 38, Ste 6",Heelok Chinese Restaurant,NJ,60,4
,1617 Salem Rd,New China Chinese Restaurant,NJ,15,3.5
,1620 W Newport Pike,China House Chinese Kitchen,DE,10,3
,1640 N Kings Hwy,Ming Garden Chinese Restaurant,NJ,60,3.5
,1664 Bethlehem Pike,New South Ocean Chinese & Japanese Restaurant,PA,59,4
,"1690 Rt 38, Ste 8",Kawah Chinese Restaurant,NJ,19,3.5
,1709 Sicklerville Rd,Golden Dynasty Chinese Takeout,NJ,36,4.5
,1713 S Dale Mabry Hwy,Hao Wah Chinese Restaurant,FL,186,3.5
,"1725 State St, Ste C, Cielo Spa",Lisa McGill SB Brazilian Waxing,CA,9,5
,1743 E Hillsborough Ave,Hong Kong Chinese,FL,5,3
,1750 N Olden Ave,Tan May Chinese Restaurant,NJ,17,2.5
,1800 S Broad St,Oriental Chinese,PA,41,3
,1800 Spring Garden St,Golden Chopstick Chinese Restaurant,PA,137,3
,1801 Zumbehl Rd,Ho-Ho Chinese Restaurant,MO,34,3
,1806 W State St,North End Chinese Rest,ID,47,2.5
,1825 Silverada Blvd,The Wok Chinese Cuisine,NV,548,4.5
,1826 Cliff Dr,Brazilian by Brazilian,CA,88,5
,1828 S St,Fortune Chinese Restaurant,PA,87,3.5
,1871 N Olden Ave,Fu Wah Chinese,NJ,28,2
,1901 Manhattan Blvd,Bella Brazilian Wax,LA,36,4.5
,1980 W Orange Grove Rd,Chinese Combo,AZ,57,3.5
,2037 Williams Blvd,Young's Garden Chinese Restaurant,LA,81,3
,2047 S 3rd St,Happy Dragon Chinese Restaurant,PA,42,3.5
,2059 111 Street NW,Good Buddy Chinese Restaurant,AB,67,2.5
,2100 S 17th St,17 Snyder Chinese,PA,21,3
,2116 N Market St,Bally's Chinese Restaurant,DE,23,3.5
,2116 W Grant Rd,New Asia Chinese Restaurant,AZ,75,4
,2125 N 63rd St,Shee Yuan Chinese,PA,21,3.5
,"2141 Main St, Ste C",Brazilian Wax and Spa by Claudia,FL,7,4.5
,2200 S Broad St,Ho Choi Chinese Restaurant,NJ,11,2
,2204 James L Redman Pkwy,813 Chinese Food,FL,35,3.5
,2223 Ridge Ave,Tang's Halal Chinese Restaurant,PA,31,4.5
,2251 Las Positas Rd,Meet Up Chinese Cuisine,CA,140,4
,2266 Murfreesboro Pike,No 1 Chinese Restaurant,TN,23,2.5
,2309 David Dr,Red Apple Chinese Restaurant,LA,26,3.5
,2324 Marconi Ave,North Broadway Brazilian Jiu Jitsu,MO,8,5
,2333 Welsh Rd,Yantze Chinese Gourmet,PA,141,4
,2347 Haverford Rd,Pak Yue Chinese Restaurant,PA,56,4
,2395 York Rd,New China Chinese Restaurant,PA,19,3
,2403 E Somerset St,Xinying Chinese Restaurant,PA,51,4
,2425 N Milwaukee St,Chinese Acupuncture & Natural Therapy Center,ID,8,3.5
,2442 Rt 38,Cindy's Chinese Restaurant,NJ,33,3.5
,"2458 W Main St, Ste B",Golden Key Chinese Restaurant,PA,36,3.5
,2550 N Derbigny St,Chinese Inn,LA,10,3.5
,2610 Homer M Adams Pkwy,Chinese Buffet,IL,34,3.5
,2659 N Illinois St,Li Chinese Reaturant,IL,27,3
,"2705 54th Ave N, Ste 3",ABC Seafood Chinese Restaurant,FL,245,4
,2732 W 71st St,Wah Wah Chinese Restaurant,IN,17,2.5
,2748 Germantown Ave,Halal Fusion Chinese Restaurant,PA,11,3.5
,2803 Clifton Ave,Best Wok Chinese,TN,101,3.5
,2809 Ridge Pike,King House Chinese Restaurant,PA,15,3.5
,2821 116 Street NW,Blue Quill Chinese Food,AB,26,3
,2913 New Brooklyn Erial Road,Erial Garden Chinese Restaurant,NJ,14,4
,2916 W Chester Pike,New Leaf Chinese & Japanese Cusine,PA,177,4
,"2921 E Ft Lowell, Ste 113",Happy Feet Chinese Reflexology,AZ,53,4.5
,2933 E Grant Rd,Jun Dynasty Chinese Restaurant,AZ,400,4
,2960 S Virginia St,Chinese Duck House,NV,250,3.5
,"2999 E Evesham Rd, Ste 9",Mulan Chinese Restaraunt,NJ,34,4
,3048 St Claude Ave,Red's Chinese,LA,384,4
,3200 Red Lion Rd,Beijing Chinese Restaurant,PA,30,3.5
,3219 Chichester Ave,Chinatown Chinese Restaurant,PA,5,3
,"3251 Manhattan Blvd, Ste A2",Chinese Eatery,LA,22,3.5
,3326 S Mccarren Blvd,OA Chinese Food,NV,26,3.5
,3331 Williams Blvd,Imperial Garden Chinese Restaurant,LA,79,3.5
,"3356 Grant Ave, Unit 4",Brazilian Wax Studio and Spa,PA,6,5
,3378 Chichester Ave,Great Wall Chinese Restaurant,PA,13,3
,3399 W Esplanade Ave S,Chinese Acupuncture Herbal Center,LA,5,5
,3424 Tampa Rd,Great Wall Chinese,FL,12,3.5
,3466 Naamans Rd,King Garden Chinese Restaurant,DE,33,3.5
,3501 Severn Ave,Mandarin House Chinese Buffet,LA,76,2.5
,3506 Washington Ave,Sunrise Chinese Restaurant,MO,17,3.5
,3568 Edgmont Ave,Wing Hing Chinese Restaurant,PA,39,2.5
,3600 Spruce St,Le Anh Chinese Food,PA,21,2.5
,3605 S Carrollton Ave,Five Happiness Chinese Restaurant,LA,319,3
,3635 Prytania St,August Moon Chinese Restaurant,LA,83,3
,"3687 Tampa Rd, Ste 202",Brazilian Wax and Spa by Claudia,FL,22,4
,3708 Nameoki Rd,Great Wall Chinese Buffet,IL,19,2.5
,3739 Lancaster Ave,Spring Chinese Restaurant,PA,58,3.5
,3770 N Shadeland Ave,Foon Ying Chinese Restaurant,IN,76,4
,3814 Williams Blvd,Penny’s Brazilian Wax & Spa,LA,56,4
,"3815 Church Rd, Ste 6",No 1 Chinese Kitchen,NJ,15,3
,3826 Lancaster Ave,Shorty's Brazilian Jiu Jitsu,PA,6,5
,"3936 W Ina Rd, Ste 362",Linh-Nam Chinese Restaurant,AZ,118,4
,3940 S Keystone Ave,Great Wall Chinese Restaurant,IN,48,3.5
,4004 Rte 130,Great Taste Chinese Food,NJ,11,3
,"4012 Hillsboro Pike, Ste 2A",Artista Brazilian Jiu-Jitsu,TN,16,5
,"4041 Williams Blvd, Ste B1",Red Apple Chinese Restaurant,LA,19,4
,4100 Edgmont Ave,Wonderful Chinese,PA,9,3.5
,4152 Rowan Rd,Brazilian Wax Bar,FL,6,4
,4175 66th St N,Lucky Star Chinese,FL,60,3.5
,4232 S Broadway,Ho's Chinese Restaurant,MO,14,4
,4251 Walnut St,New Number One Chinese Restaurant,PA,40,2.5
,4260 Main St,New Leaf 2 Chinese & Japanese Cuisine,PA,137,4.5
,4337 Commercial Way,Hong Kong Chinese Restaurant,FL,18,3
,4347 50 Street NW,Tasty World Chinese Food Restaurant,AB,11,2.5
,4370 Main St,Brazilian Wax and Spa by Claudia,PA,96,4
,4425 Pennell Rd,Lucky Wok Chinese Restaurant,PA,18,4
,4433 Jefferson Hwy,Jade Buddha Chinese Restaurant,LA,29,3
,4445 E Broadway Blvd,Guilin Chinese Restaurant,AZ,186,4
,4521 Gravois Village Ctr,Fu Yu Chinese Kitchen,MO,18,3.5
,4524 New Falls Rd,Wing Wah Chinese Restaurant,PA,25,3.5
,4623 Ogletown Stanton Rd,Dragon City Chinese Restaurant,DE,14,3
,4624 W State St,New Garden Chinese Restaurant,ID,45,3.5
,"4707 W Gandy Blvd, Ste 7",Brazilian Wax by Rosy,FL,6,5
,4806 Drexelbrook Dr,Dragon II Chinese Restaurant,PA,65,4
,4808 Jefferson Hwy,Oriental Triangle Chinese,LA,50,3
,4834 Spruce St,Great Taste Chinese Food,PA,10,3.5
,4947 W Napoleon Ave,Chinese Restaurant,LA,38,3
,"5000 Hughes Crossing, Ste 100",No1 Chinese Restaurant,TN,32,3
,5022 E 10th Ave,Far East Chinese Restaurant,FL,27,4.5
,5043 Wissahickon Ave,Far East Chinese Cuisine,PA,28,5
,"5055 Sun Valley Blvd, Ste 200",Panda House Chinese Restaurant,NV,55,3.5
,5150 N 5th St,Main Garden Chinese Restaurant,PA,8,3.5
,5197 Murfreesboro Rd,Fortune Express Chinese Restaurant,TN,12,4
,5226 Elysian Fields Ave,Chinese Tea Garden,LA,68,3
,5420 Calgary Trail NW,Chinese Hot Pot Buffet,AB,52,4.5
,5527 S 78th St,New Far East Chinese Rest,FL,26,4
,5539 Edmondson Pike,Evergreen Express Chinese Restaurant,TN,52,3
,5644 Georgetown Rd,Jumbo Chinese Restaurant,IN,12,3
,5681 N Glenwood St,Gracie Barra Brazilian Jiu-Jitsu Boise,ID,5,5
,"5751 Old Hickory Blvd, Ste 109",No 1 Chinese Restaurant,TN,48,3
,5808 Crawfordsville Rd,Number One Chinese Restaurant,IN,26,2
,5921 N Broad St,Imperial Palace Chinese Restaurant,PA,12,4
,6228 Bustleton Ave,East Lake Chinese Restaurant,PA,11,3
,6231 Westfield Ave,No 1 Chinese Restaurant,NJ,7,3.5
,6420 Frankford Ave,Happy Wok Chinese Restaurant,PA,13,3
,6501 Castor Ave,Picanha Brazilian Steakhouse,PA,236,3.5
,"6546 E Tanque Verde Rd, Ste 110",Panda Village Chinese Restaurant,AZ,12,2
,6614 Ridge Rd,Tian Tian Chinese Restaurant,FL,26,3.5
,6712 Millcreek Rd,Zhou's House Chinese Restaurant,PA,26,3
,6715 49th St,Terra Mar Brazilian Steakhouse,FL,186,4
,6810 Gravois Ave,Bo Fung Chinese Kitchen,MO,218,4
,6861 Jefferson Hwy,Red Apple Chinese Restaurant,LA,31,4
,"6900 Lenox Village Dr, Ste 10",No. 1 Chinese,TN,89,3.5
,7022 Clayton Ave,Chinese Express,MO,64,3.5
,7105 Frankford Ave,Panda Chinese Restaurant,PA,17,3
,7136 Downman Rd,Charlie's Chinese Cuisine,LA,7,3.5
,7140 Ridge Ave,Ruby Chinese Restaurant,PA,87,3
,7260 Fishers Crossing Dr,Dragon House Chinese Eatery,IN,117,3
,"7288 Lancaster Pike, Ste 4B",Golden City Chinese Cuisine,DE,12,3.5
,7518 Castor Ave,Brazilian Pizza Philly,PA,5,4
,7519 Maple Ave,Hing Far Chinese Restaurant,NJ,30,4
,7552 Haverford Ave,New Queen Chinese,PA,13,3
,7634 Castor Ave,Broncos Brazilian Steakhouse,PA,102,4.5
,7645 State Rd 54,Panda Chinese Restaurant,FL,28,3.5
,8080 Old York Rd,Szechuan Mandarin Chinese Restaurant,PA,50,3.5
,"8130 66th St N, Ste 2",Yannie's Chinese Massage Therapy,FL,8,5
,8144 E 21st St,Beijing Chinese Restaurant,IN,36,4
,8148 Olive Blvd,Cate Zone Chinese Cafe,MO,264,4.5
,8233 Olive Blvd,KC Chinese Rotisserie Restaurant,MO,43,4.5
,8236 Louisiana Hwy 23,Lucky Garden Chinese Seafood Restaurant,LA,69,4
,8250 N Cortaro Rd,Mantis Gourmet Chinese Food,AZ,217,4.5
,8330 Earhart Blvd,Red Star Chinese Restaurant,LA,97,2.5
,8406 Olive Blvd,Royal Chinese BBQ,MO,99,3.5
,8450 Eager Rd,Lulu Chinese Express,MO,26,3.5
,8620 Frost Ave,Hunan Chinese Express,MO,6,2.5
,8630 W Overland Rd,Lucky Palace Chinese Restaurant,ID,64,3.5
,8663 Little Rd,Super China Chinese Restaurant,FL,54,4
,"8814 Veterans Blvd, Ste 18",Bella Brazilian Wax - Metairie,LA,85,4.5
,8888 Ulmerton Rd,Supremacy Brazilian Jiu-Jitsu,FL,11,5
,8923 S Meridian St,West Place Chinese Restaurant,IN,20,3.5
,9010 75 Street NW,Harvest Chinese Restaurant,AB,19,4
,9015 Park Blvd,Zom Hee Chinese Restaurant,FL,258,4
,"9095 E Tanque Verde Rd, Ste 181",Sakura Chinese Massage & Reflexology,AZ,7,3.5
,"9103 112 Street NW, Hub Mall, University of Alberta",Ho Ho Chinese Food,AB,11,2.5
,"9212 W Judge Perez Dr, Ste A",Quick Wok Chinese Restaurant,LA,23,3
,9220 Ashton Rd,New Lee's Chinese Restaurant,PA,12,3
,9226 Ashton Rd,Lee's Chinese Restaurant,PA,5,3.5
,9240 W Florissant Ave,Northland Chop Suey Chinese Restaurant,MO,9,4.5
,"9333 Double R Blvd, Ste 1100",Gracie Humaita Brazilian Jiu-Jitsu,NV,23,4.5
,9347 Krewstown Rd,Taste Queen Chinese Restaurant,PA,61,3.5
,9621 Bay Pines Blvd,Dragon Phoenix Chinese,FL,20,2
,9626 Ellerslie Road SW,Pampa Brazilian Steakhouse,AB,39,3.5
,9737 Manchester Rd,Lulu's Chinese & Dim Sum,MO,98,3
,9806 W Florissant Ave,Hunan Chop Suey Chinese Restaurant,MO,10,3.5
,"9865 Bustleton Ave, Ste A",Jin Jin Chinese Restaurant,PA,64,3
,9910 Frankford Ave,Emperor's Garden Chinese Restaurant,PA,17,3.5
,10016 82 Avenue NW,Old Szechuan Chinese Restaurant,AB,13,3
,10045 Manchester Rd,King Doh Chinese Restaurant,MO,62,3
,10143 Saskatchewan Drive NW,Fumaca Brazilian Steakhouse,AB,24,4
,"10370 N La Canada Dr, Ste 190",GMG Chinese Bistro,AZ,236,3.5
,10425 100th Avenue NW,P & L Chinese Restaurant,AB,10,4
,10440 Page Ave,Chef Ma's Chinese Gourmet Restaurant,MO,203,4
,10454 66th St N,HAO Wah Chinese Restaurant,FL,69,2.5
,10500 Watson Rd,Sesame Chinese Restaurant,MO,152,4
,"10801 Starkey Rd, Ste 5",New Hong Kong Chinese Restaurant,FL,18,2.5
,10805 102nd Ave,Golden Star Chinese Restaurant,FL,24,3.5
,"10933 23 Avenue NW, Unit 115",Good Taste Chinese Take Out & Deliver,AB,13,3
,11022 US Hwy 41 S,Taiwan Express Chinese Restaurant,FL,33,4
,11068 Spring Hill Dr,Chopstix Chinese restaurant,FL,14,2.5
,"11111-82 Avenue, Suite 103",University Traditional Chinese Medicine Clinic,AB,6,4
,11220 W Hillsborough,Robson Moura Brazilian Jiu Jitsu,FL,6,4.5
,11235 Jasper Avenue,Blue Orchid Chinese Restaurant,AB,45,3.5
,11734 Baptist Church Rd,Panda Chinese Restaurant,MO,51,4.5
,11760 E Dr Martin Luther King Jr Blvd,Hong Kong Chinese Restaurant,FL,19,2.5
,11832 US Hwy 19,Green Tea Chinese Restaurant,FL,31,3
,12033 Manchester Rd,Wan Fu Chinese Restaurant,MO,97,4
,12333 Academy Rd,Hong Kong Chinese Restaurant,PA,14,3
