Country,Cuisine,Description,Ingredients,Recipe_Title,Tags,Course,Rating
CN,Chinese," is a delicious Indo Chinese preparation of rice with vegetables and tofu. This one pot meal is easy to make and turns delicious. Tofu looks like paneer, but it is made from soya bean curd and is healthier than paneer. It is added to most of the Indo Chinese dishes. Did you know- Tofu is a good source of proteins and amino acids. It is rich in iron, calcium and vitamins. It is gluten free and low in calories too. Serve   for a weekend dinner along with   and  .  You can also try other similar recipes such as",Basmati rice|Tofu|Bay leaf (tej patta)|Cinnamon Powder (Dalchini)|Onions|Spring Onion (Bulb & Greens)|Spring Onion Greens|Red Yellow or Green Bell Pepper (Capsicum)|Carrot (Gajjar)|Button mushrooms|Garlic|Oil|Salt,Tofu Fried Rice Recipe,Office Lunch Box Recipes|One Dish Recipes|Indian Dinner Recipes|Tofu Recipes|Weekend Dinner Ideas|Weekend Lunch Recipes|Indo Chinese Recipes (Indian Chinese),Lunch,4.948813983
CN,Chinese,"Anhui Bang Tofu Salad Recipe is a nutty flavored salad with sautéed cabbage and cut cucumbers. The original dish is made from shredded vegetables that are locally grown in the region of Anhui. The tofu is marinated and then tossed with the nutty, sweet and spicy flavored sauce. This recipe has been modified to soothe the Indian palate. Serve the Anhui Bang Tofu Salad Recipe along with   for a delicious Lunch meal. If you are looking for more Chinese Recipes here are some :",Ginger|Peanut Butter|Honey|Corn flour|Tofu|Corn flour|Salt|Black pepper powder|Sesame seeds (Til seeds)|Cabbage (Patta Gobi/ Muttaikose)|Spring Onion (Bulb & Greens)|Cucumber|Salt|Sunflower Oil,Anhui Bang Tofu Salad Recipe,Side Dish Recipes|Cabbage Recipes (Patta Gobi)|Tofu Recipes|Quick & Easy Recipes|Sesame Recipes|Peanut Butter Recipes,Side Dish,4.948113208
CN,Chinese,"Soba Noodle Salad is a very flavourful, quick and healthy recipe. Soba noodles are a great alternative to regular noodles, they are healthier and also more satiating. This is a great vegetarian or vegan recipe but you can also add chicken, shrimp or tuna to the salad. You can serve this at parties or potlucks and it also makes for a great lunch or dinner. This salad can be prepared ahead of time and kept in the refrigerator and the flavors intensify even more. Enjoy! Serve Soba Noodle Salad along with  for a weekend night dinner. If you like this recipe, you can also try other Asian recipes such as",Soba noodles|Red cabbage|Red Yellow or Green Bell Pepper (Capsicum)|Spring Onion (Bulb & Greens)|Carrots (Gajjar)|Coriander (Dhania) Leaves|Basil leaves|Mint Leaves (Pudina)|Sesame seeds (Til seeds)|Peanut Butter|Ginger|Honey|Rice Vinegar|Sesame (Gingelly) Oil|Salt|Black pepper powder|Red Chilli flakes|Lemon juice,Soba Noodle Salad Recipe,Indian Potluck & Kitty Party Recipes,Dinner,4.940700809
CN,Chinese,"Homemade Hoisin Sauce Recipe is traditional sauce made from combination of ingredients that has sweet, sour and richness. All the ingredients are combined in a sauce pan and heated till it blends into a smooth paste. That is how quick is to make hoisin sauce but remember to keep the proportion right otherwise the balance of the flavor might not be right. You can use this homemade Hoisin sauce for various recipes like gravy, dips, and in stuffing. Serve the Homemade Hoisin Sauce Recipe in   with homemade Hoisin Sauce Recipe. If you are looking for more Home made sauces here are some : ",Honey|Peanut Butter|Red Wine Vinaigrette|Sesame (Gingelly) Oil|Black pepper powder|Garlic,Homemade Hoisin Sauce Recipe,Vegetarian Recipes|Asian Cuisine Recipes|Sauce Recipes|Chinese Recipes,,4.940650024
CN,Chinese,"Braised Pork Belly is a very famous dish in China. Almost every household cook have their own formula and twists based on the original. This is a meal that is built around the flavour of soy sauce and a handful of Chinese ingredients. The tender velvety meat of the pork belly surrounded by sweet soy sauce and star anise flavours will truly whets your appetite. The recipe today is very simple. Three main steps, parboiling, braising and caramelising together impart superior flavour and increase visual appeal. Once you master the basic, you can add other ingredients to layer the flavours. The matched ingredients are spring onion, garlic, dry chilli, bay leaf and cinnamon sticks. Serve Braised Pork Belly along with   and   for a weeknight dinner. If you like this recipe, you can also try other Non Veg recipes such as",Pork belly|Chinese rice wine|Ginger|Sugar|Star anise,Braised Pork Belly Recipe,Party Food Recipes|Chaat Party Recipes|Pork Recipes,Dinner,4.939912281
FR,French,"Crisp shortcrust pastry, creamy egg and cream filling and smoky bacon make this Bacon Quiche Tart a dream come true.Quiche are delicacy from france which are usually eaten during the breakfast time, the basic quiche recipe is with a egg custard and flavoured with some herbs and onions and leeks.  Perfect to be served with evening tea or  for a light meal this tart is a winner all the way through. It can also be had with a cup of   as a drink to quench your thirst.  Have a look at more of our tart recipes worth drooling for",All Purpose Flour (Maida)|Salt|Lemon juice|Whole Egg|Onion|Bacon strips|Garlic|Whole Eggs|Egg yolks|Fresh cream|Cheese|Parsley leaves|Black pepper powder|Salt,Bacon Quiche Tart Recipe,Tea Party Recipes|Quiche Recipes,World Breakfast,5
FR,French,"Caramelized Onion Tart is a perfect combination for a pie crust and when topped with Ricotta Cheese and chilly flakes it adds to the zing of the tart. These Onion Tarts are flavored with rosemary and spiced up with chilli flakes. And the best part is they are made from a whole wheat pie crust, make them easier on the stomach. Make these onion tarts for your holiday parties and your guests will simply love them. If you love making tarts at home, you must try some of our other favorites",Onions|Ricotta Cheese|Red Chilli flakes|Salt and Pepper|Extra Virgin Olive Oil,Caramelized Onion Tart with Ricotta Cheese Recipe,Party Starter & Appetizer Recipes|Tart and Pie Recipes,Appetizer,4.995402299
FR,French,"Tart Provencal with Ratatouille is a French style tart recipe made using vegetables that are typically used in baking Ratatouille. Ratatouille is a popular French vegetable stew. The stewed vegetables are filled in a tart crust and baked and topped with cheese. Serve the Savory Tart Provencal with Ratatouille along with a  , for a hearty meal with family and friends. Have a look at more of the savory tart recipes that we have",All Purpose Flour (Maida)|Butter (Salted)|Salt|Water|Japanese Eggplant|Green zucchini|Yellow Zucchini|Red Bell pepper (Capsicum)|Yellow Bell Pepper (Capsicum)|Onion|Garlic|Tomatoes|Fresh Thyme leaves|Sugar|Extra Virgin Olive Oil|Whole Black Peppercorns|Gruyere Cheese|Salt,Tart Provencal With Ratatouille Recipe,Vegetarian Recipes|Zucchini Recipes|Cheese Recipes,Lunch,4.994252874
FR,French," is a tart dish which originated from southern france. The base of this classic Provencal Onion tart is made from the bread dough or the pizza dough that is thicker than a classic Italian Pizza. This tart is topped with caramelized onions, garlic and olives. You can also modify the traditional recipe by adding some tropical fruits or other favorite vegetables like green pepper or mushrooms too.  Serve Pissaladiere as an appetizer with  . Other recipes that you can try are:",All Purpose Flour (Maida)|Extra Virgin Olive Oil|Lukewarm Water|Flax seeds|Onions|Tomatoes|Fresh Thyme leaves|Garlic|Salt and Pepper|Extra Virgin Olive Oil|Extra Virgin Olive Oil,Pissaladiere Recipe - Provencal Onion Tart Recipe,Party Food Recipes|Vegetarian Recipes|Tea Party Recipes|Party Starter & Appetizer Recipes|Tart and Pie Recipes|New Year Party Recipes,Appetizer,4.979238754
FR,French,"Butternut Squash which is also known as Kaddu, halwa kaddu, kashiphal, mitha kaddu, petha in various regional languages in India has high medicinal properties and is a rich source of nutrients. Butternut squash, comes from the family of gourds and melons. Once called “the apple of God,” it has a sweet, nutty taste and is almost indistinguishable from pumpkin. Gratin is a French baked dish where in an ingredient is topped with a browned crust, often using breadcrumbs, grated cheese, egg and/or butter. Butternut Squash Gratin is a combination of squash, cheese, some herbs which are then topped with breadcrumbs and baked to make a crispy brown cover. It is usually served as a side or in breakfast. The dish is not just delicious but is an absolute healthy choice for the weight watchers. Serve the Butternut Squash Gratin Recipe along with   and a   to go along with.  Other gratin recipes that you can try are:",Butternut squash|Extra Virgin Olive Oil|Whole Wheat Bread crumbs|Coriander (Dhania) Leaves|Cheddar cheese|Gouda cheese|Black pepper powder|Rosemary|Salt,Butternut Squash Gratin Recipe,Party Food Recipes|Healthy Recipes|Breakfast Recipe Ideas|One Dish Recipes|French Cuisine Recipes|Gratin Recipes|Squash Recipes,Lunch,4.974358974
FR,French,"Kale, Blue Cheese and Cranberry Quiche Recipe is a delicious and seasonal quiche that can be prepared real quick. Although rich in calories, the addition of cranberries, blue cheese and kale makes this dish delectably tempting. You can serve this Kale Blue Cheese And Cranberry Quiche Recipe with   or   (non-veg) for a zesty meal and end your meal with  . If you like this recipe, you can also try other quiche recipes like",Red onion|Kale|Cranberries|Blue cheese|Whole Eggs|Hung Curd (Greek Yogurt)|Salt and Pepper|Extra Virgin Olive Oil,Kale Blue Cheese And Cranberry Quiche Recipe,Party Food Recipes|Spinach Recipes (Palak/Keerai)|Quiche Recipes,Main Course,4.971014493
FR,French,"French toast is the most loved toast by kids and adults. Top it with your favorites like roasted streaky bacon and you have the most amazing breakfast dish ready. One the most popular topping on French toast is bacon, here we are doing oven roasted streaky bacon over the French toast along with fresh cut fruits to make French Toast Recipe With Oven Roasted Streaky Bacon. Do not forget to drizzle maple syrup over the top, or honey could work too. Saltiness from bacon, sweetness from honey it’s a perfect combo for a breakfast with French Toast Recipe With Oven Roasted Streaky Bacon served with a tall glass of fresh orange juice. Here are few more French breakfast ideas",Whole Eggs|Fresh cream|Milk|Sugar|Salt|Maple syrup|Bacon strips|Ripe Bananas,French Toast Recipe With Oven Roasted Streaky Bacon,Bacon Recipes,World Breakfast,4.970909091
FR,French,"Baked and Creamy Potato Gratin along with fresh   and a Toast is a family favorite.It  If you like Gratins, then you must try some of our favorites  ",Fresh cream|Milk|Potatoes (Aloo)|Sweet Potatoes|Onions|Parmesan cheese|Rosemary|Nutmeg powder|Salt|Red Chilli flakes|Extra Virgin Olive Oil,Baked Creamy Potato Gratin Recipe,Party Food Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Gratin Recipes|Thanksgiving Recipes,Dinner,4.970552147
FR,French,"The classic French Crepes filled with sweet and spiced caramelised apple filling and a glossy sweet and tangy orange sauce makes these crepes simply irresistible. Crepe is a French word for pancakes. Crepes are very thin pancakes that can be folded easily. It has a soft melt in mouth texture due to the use of eggs, butter and milk. Thick orange sauce with a nice glossy texture poured over stuffed hot pancakes makes these thin crepes make it very delicious and irresistible. Treat your loved ones with this special breakfast for those special occasions. Serve the Crepes Filled With Apples & Topped With Orange Sauce for a weekend breakfast, along with some   and a cup of hot coffee. If you like an European Breakfast, then you might also like to try a few of our favorites like ",All Purpose Flour (Maida)|Whole Eggs|Milk|Baking powder|Salt|Sugar|Apples|Cinnamon Powder (Dalchini)|Brown Sugar (Demerara Sugar)|Fresh orange juice|Sugar,Crepes Filled With Apples & Topped With Orange Sauce,Tea Party Recipes|Crepe Recipes|Apple Recipes|French Cuisine Recipes,Dessert,4.966480447
FR,French,"French style Grilled Vegetables with Cheese Recipe is a medley of grilled vegetables with some lip smacking cheese. It is delicious on its own, but you can also pair it with some   and grilled bread to make it a complete meal.  be made on the stove top or can be baked - I chose the latter.  Serve the French style Grilled Vegetables with Cheese Recipe before a nice meal of  .  Other French recipes that you can try : ",Onion|Red Bell pepper (Capsicum)|Green Bell Pepper (Capsicum)|Yellow Bell Pepper (Capsicum)|Tomato|Green zucchini|Brinjal (Baingan / Eggplant)|Broccoli|Salt and Pepper|Extra Virgin Olive Oil|Garlic|Red Chilli flakes|Mixed Herbs (Dried)|Cheese,French style Grilled Vegetables with Cheese Recipe,Indian Lunch Recipes|Healthy Recipes|Broccoli Recipes|Brinjal Recipes (Eggplant / Baingan)|Zucchini Recipes,Appetizer,4.966244726
GR,Greek,"A greek dish in which Chicken breasts are cut into equal pieces and marinated with Greek flavours, later skewered and cooked. Chicken Souvlaki is typically served with flatbread that are are filled with lettuce,  tomatoes, salad and wrapped with Tzatziki. Tzatziki is  a flavorful dip made with Greek yogurt and grated Cucumber, an ideal condiment for wraps and rolls. Serve Chicken Souvlaki with Tzatziki along with   for a weekend night dinner with your family. If you like this recipe, you can also try other Chicken recipes such as",Chicken breasts|Extra Virgin Olive Oil|Lemon juice|Garlic|Dried oregano|Salt|Black pepper powder|Cucumbers|Hung Curd (Greek Yogurt)|White wine vinegar|Lemon juice|Garlic|Extra Virgin Olive Oil|Salt|Black pepper powder,Chicken Souvlaki with Tzatziki Recipe,Party Food Recipes|Whole Wheat Recipes,Dinner,4.980392157
GR,Greek,is a flavour packed dish made from a combination lentil and meat. Both are filled with good amount of protein and is cooked along with some fresh and dry herbs. We have mixed two different kinds of herbs which are chopped parsley and coriander leaves that gives in the freshness and flavour to the dish.  Serve the   along with some   and fresh  by the side for your Sunday Dinner Meal.  If you are looking for more Chicken recipes here are some : ,Chicken|Rajma (Large Kidney Beans)|Onion|Garlic|Coriander (Dhania) Leaves|Parsley leaves|Kasuri Methi (Dried Fenugreek Leaves)|Dried oregano|Turmeric powder (Haldi)|Red Chilli powder|Salt|Sunflower Oil,Persian Chicken Kidney Bean Stew Recipe,Weekend Dinner Ideas|Rajma Kidney Bean Recipes,Lunch,4.967741935
GR,Greek,is a tasty one pot meal when served along with pita bread or toasted bread slice. The Chickpeas are pressure cooked and then simmered in a ceramic crock pot with its own juices. The chickpeas are tossed with caramelized onions and herbs to add in extra flavor to the whole dish. The chickpea will be cooked in its own reserved liquid that was used for soaking and boiling the lentil. Serve the    with   and    to make a delicious Sunday Lunch. If you are looking for more Chickpeas Recipes here are some :,Kala Chana (Brown Chickpeas)|Garlic|Extra Virgin Olive Oil|Water|Rosemary|Salt|Black pepper powder|Caramelized onions,Greek Style Revithia Sto Fourno - Chickpeas with Caramelized Onions Recipe,Kabuli Chana Recipes (Chickpea)|Onion Recipes|Kala Chana Recipes (Black Chickpeas),Lunch,4.944025834
GR,Greek,"The Vegetarian Moussaka with Mushrooms Sauce Recipe is a super delicious wholesome dish that is packed with the goodness of mushrooms and the creaminess of the bechamel sauce. Moussaka is a classic recipe from the Greek Cuisine that is usually made with meat, but this grilled and roasted eggplants baked in the mushroom sauce makes a scrumptious vegetarian version.  Make  If you are looking for more vegetarian recipes here are some:",Brinjal (Baingan / Eggplant)|Cheddar cheese|Whole Wheat Bread crumbs|Button mushrooms|Garlic|Cumin powder (Jeera)|Salt|Black pepper powder|Parsley leaves|Whole Wheat Flour|Milk|Britannia Cream Cheese|Salt|Black pepper powder,Vegetarian Moussaka with Mushrooms Sauce Recipe,Party Food Recipes|Vegetarian Recipes|Mushroom Recipes|One Dish Recipes|Brinjal Recipes (Eggplant / Baingan)|Greek Cuisine Recipes,One Pot Dish,4.927505330
GR,Greek," is a classic recipe made with Broad beans popularly known as “Giant Beans” in a tomato based sauce and baked. The recipe is filled with lots of herbs to give in the flavor to whole dish. Once it is baked to the right texture, the beans will be creamy and cooked along with the tangy tomato sauce. You can substitute the broad beans with any kind of beans that are available in the market and you can also make it very healthy by adding some extra vegetables for the crunch.  Serve the   as a one pot meal with   for a Sunday Dinner. If you are looking for more Dinner Recipe Ideas here are some : ",White broad beans|Yellow Zucchini|Carrot (Gajjar)|Onion|Celery|Garlic|Sugar|Dried oregano|Cinnamon Powder (Dalchini)|Bay leaf (tej patta)|Parsley leaves|Parsley leaves,Greek Style Gigantes Plaki Recipe-Oven Baked Broad Beans with Vegetables,Indian Lunch Recipes|Green Beans Recipes (French /Haricot)|Zucchini Recipes|Oven Baked Recipe,Dinner,4.923076923
GR,Greek,"Gyros are traditional Greek sandwich/wrap that has toppings of grilled meat like lamb, beef or pork marinated in Greek seasoning. Usually a pita bread is used in making the gyros. A vegetarian version of gyros uses some delicious grilled veggies like zucchini, bell peppers, mushrooms, aubergines smeared and drizzled with delicious Tzatziki sauce. I have used Tortillas since I could not make/get pita bread. To make traditional gyros, please use pita bread. Serve Vegetarian Grilled Gyros with   or   for an evening snack or for party appetisers along with  .  If you like this recipe, you can also try other wrap recipes such as:  ",Mini Pita Breads|Tzatziki|Brinjal (Baingan / Eggplant)|Green zucchini|Yellow Zucchini|Green Bell Pepper (Capsicum)|Red Bell pepper (Capsicum)|Yellow Bell Pepper (Capsicum)|Button mushrooms|Tomatoes|Red onion|Cucumber|Extra Virgin Olive Oil|Lemon juice|Salt|Black pepper powder|Garlic,Vegetarian Grilled Gyros Recipe,Party Food Recipes|Side Dish Recipes|Healthy Recipes|Brinjal Recipes (Eggplant / Baingan)|Zucchini Recipes|Mediterranean Recipes|Wrap Recipes,Appetizer,4.917124040
GR,Greek,Greek-Style Spinach Spanakopita Recipe is a traditional dish of Greek. Flaky Phyllo pastry is layered on top of the creamy spinach mixture and baked. We have created a similar version by making a homemade phyllo pastry and layering it on top and blind baking it first and then baking it along with the stuffing.These Spanakopita are baked in various shapes like triangles and squares. Serve the Greek-Style Spinach Spanakopita Recipe as a party Appetizer along with  and  If you are looking for more Spinach Recipes here are some : ,Spinach Leaves (Palak)|Onions|Garlic|Fresh Thyme leaves|Dried oregano|All Purpose Flour (Maida)|Salt,Greek Style Spinach Spanakopita Recipe,Paneer Recipes|Spinach Recipes (Palak/Keerai)|Party Starter & Appetizer Recipes|Oven Baked Recipe|Puff Pastry Recipes,Appetizer,4.917050691
GR,Greek,Greek Style Kolokithokeftedes Recipe is a simple patty made from grated Zucchini and paneer. It is then packed with simple herbs like mint and spring onions. The fritter is pan fried till it is crispy on the outside and soft inside. This mixture can be made and kept up for three days and can be used whenever necessary for a quick snack. Serve the Greek Style Kolokithokeftedes Recipe (Squash Fritters Recipe) as a Part Appetizer or just as Tea Time Snack along with   and a meal made up of  and  . If you are looking for more Zucchini recipes here are some :   ,Yellow Zucchini|Nutmeg|Spring Onion (Bulb & Greens)|Mint Leaves (Pudina)|Instant Oats (Oatmeal)|Flax seed powder (flax meal)|Whole Wheat Bread crumbs|Salt and Pepper|Extra Virgin Olive Oil,Greek Style Kolokithokeftedes Recipe -Zucchini Fritters Recipe,Party Food Recipes|Paneer Recipes|Tea Party Recipes|Oats Recipes (Oatmeal)|Zucchini Recipes,Snack,4.915048544
GR,Greek,is a must try salad if you love vegetables. The salad is a simple assortment of fresh and crunchy vegetables and lettuce which is tossed in a tangy and citrus dressing. The salad is then sprinkled with a light and creamy feta cheese in order to balance the flavor. Olives are also one of the key ingredient in Greek Cooking. Olives are added as a whole in the salad or it can also be halved. Normally this salad is considered as a breakfast or lunch dish for Greek Farmers were they always consume fresh in what they grow. Serve the   as a Party Appetizer followed by a   to relish a Greek Meal.  If you are looking for Greek dishes here are some : ,Extra Virgin Olive Oil|Lemon juice|Salt and Pepper|Iceberg lettuce|Tomatoes|English Cucumber|Red onion|Kalmatta olives|Feta Cheese|Parsley leaves|Kalmatta olives|Feta Cheese|Parsley leaves|Salt and Pepper,Classic Greek salad Recipe,Tomato Recipes|Party Starter & Appetizer Recipes|Olive Recipes|Cucumber Recipes|Bell Peppers Recipes|Feta Cheese Recipes,Appetizer,4.910662824
